Code,Name,Currency,Market Cap,Price, Change,Change %
CODE,NORTHCODERS GROUP PLC ORD GBP0.01,GBX,2.4,30,-,-
COG,CAMBRIDGE COGNITION HOLDINGS PLC ORD 1P,GBX,20.28,43.5,-,-
COM,COMPTOIR GROUP PLC ORD 1P,GBX,7.97,6.5,-,-
CORA,CORA GOLD LIMITED ORD NPV (DI),GBX,48.97,9.75,-,-
CORO,CORO ENERGY PLC ORD 1P,GBX,3.87,3.6,-,-
CPH2,CLEAN POWER HYDROGEN PLC ORD GBP0.01,GBX,22.59,4.5,-,-
CPP,CPPGROUP PLC ORD GBP1.00,GBX,6.82,74.25,-,-
CPX,CAP-XX LD ORD NPV,GBX,13.91,0.24,-0.01,-2.08%
CRCL,CORCEL PLC ORD 0.01P,GBX,29.8,0.37,0.02,4.29%
CRDL,CORDEL GROUP PLC ORD 1P,GBX,9.87,4.55,-,-
CREO,CREO MEDICAL GROUP PLC ORD GBP0.001,GBX,68.06,16.5,-,-
CRL,CREIGHTONS PLC ORD 1P,GBX,19.87,29,-,-
CRPR,CROPPER(JAMES) PLC ORD 25P,GBX,33.44,350,-,-
CRS,CRYSTAL AMBER FUND LD ORD 1P,GBX,74.75,125,-,-
CRTA,CIRATA PLC ORD 10P,GBX,22.13,17.95,0.45,2.57%
CRTX,CRISM THERAPEUTICS CORPORATION ORD NPV,GBX,8.92,15.75,-1.5,-8.70%
CRU,CORAL PRODUCTS PLC ORD 1P,GBX,8.33,9.38,-,-
CRW,CRANEWARE PLC ORD 1P,GBX,514.88,"1,420.00",-30,-2.07%
CSC,CHESTERFIELD SPECIAL CYLINDERS HOLD ORD 5P,GBX,19.72,51,-,-
CSSG,CROMA SECURITY SOLUTIONS GROUP PLC ORD 5P,GBX,10.05,73,-,-
CTA,CT AUTOMOTIVE GROUP PLC ORD GBP0.005,GBX,19.14,26,-,-
CTAI,CATENAI PLC ORD GBP0.0001,GBX,3.58,0.25,-,-
CTG,CHRISTIE GROUP PLC ORD 2P,GBX,37.14,140,-,-
CTL,CLEANTECH LITHIUM PLC ORD GBP0.02,GBX,18.67,9.2,-,-
CYAN,CYANCONNODE HOLDINGS PLC ORD 2P,GBX,30.52,8.5,-,-
DATA,GLOBALDATA PLC ORD 1/100P,GBX,642.12,84.8,-,-
DBOX,DIGITALBOX PLC ORD 1P,GBX,5.01,4.25,-,-
DCI,DCI ADVISORS LTD ORD NPV,GBX,42.52,4.7,-,-
DCTA,DIRECTA PLUS PLC ORD 0.25P,GBX,13.57,13,-,-
DEBS,BOOHOO GROUP PLC ORD 1P,GBX,272.51,20,0.5,2.56%
DELT,DELTIC ENERGY PLC ORD 10P,GBX,3.26,3.5,-,-
DFCH,DISTRIBUTION FINANCE CAPITAL HOLDIN ORD 1P,GBX,110.04,66,-,-
DIAL,DIALES GROUP PLC ORD 0.4P,GBX,13.69,26,-,-
DIS,DISTIL PLC ORD 0.1P,GBX,2.24,0.11,-,-
DKL,DEKEL AGRI-VISION PLC ORD EUR0.0003367 (DI),GBX,5.11,0.43,-,-
DNM,DIANOMI PLC ORD GBP0.002,GBX,4.05,13.5,-,-
DOTD,DOTDIGITAL GROUP PLC ORD 0.5P,GBX,180.13,59.4,-,-
DPP,DP POLAND PLC ORD 0.5P,GBX,71.98,7.63,-,-
DSG,DILLISTONE GROUP PLC ORD 5P,GBX,2.5,12.25,-,-
DSW,DSW CAPITAL PLC ORD 0.25P,GBX,14.45,57.5,-,-
DUKE,DUKE CAPITAL LIMITED ORDS NPV,GBX,140.2,27.5,-,-
DXRX,DIACEUTICS PLC ORD GBP0.002,GBX,127.38,150,-,-
EAAS,EENERGY GROUP PLC ORD 0.3P,GBX,24.2,5.9,-0.35,-5.60%
EAH,ECO ANIMAL HEALTH GROUP PLC ORD 5P,GBX,69.79,102.5,-0.5,-0.49%
EARN,EARNZ PLC ORD GBP0.04,GBX,7.36,5.5,-,-
EBQ,EBIQUITY PLC ORD 25P,GBX,17.72,12.75,-,-
ECO,ECO (ATLANTIC) OIL & GAS LTD COM SHS NPV (DI),GBX,121.36,39,0.5,1.30%
ECOB,ECO BUILDINGS GROUP PLC ORD 1P,GBX,18.64,15.35,-,-
ECR,ECR MINERALS PLC ORD 0.001P,GBX,8.56,0.25,-0.01,-3.85%
EDEN,EDEN RESEARCH PLC ORD 1P,GBX,24.23,3.95,-,-
EEE,EMPIRE METALS LD ORD NPV (DI),GBX,253.79,35.2,-0.5,-1.40%
EGT,EUROPEAN GREEN TRANSITION PLC ORD 0.25P,GBX,8.32,5.75,-,-
EKF,EKF DIAGNOSTICS HOLDINGS PLC ORD 1P,GBX,113.61,26.5,0.2,0.76%
ELCO,ELECO PUBLIC LIMITED COMPANY ORD 1P,GBX,120.32,144,1,0.70%
EMAN,EVERYMAN MEDIA GROUP PLC ORD 10P,GBX,22.34,24.5,-,-
EME,EMPYREAN ENERGY PLC ORD 0.01P,GBX,4.15,0.09,0.02,20.69%
EMH,EUROPEAN METALS HOLDINGS LIMITED ORD NPV (DI),GBX,39.2,16.5,-,-
EML,EMMERSON PLC ORD NPV,GBX,32.35,2.6,0.1,4.00%
EMR,EMPRESARIA GROUP PLC ORD 5P,GBX,11.72,23.5,-,-
EMVC,EMV CAPITAL PLC ORD 5P,GBX,15.8,56.5,-,-
ENET,ETHERNITY NETWORKS LD ORD NPV (DI),GBX,0.71,0,-,-
ENSI,ENSILICA PLC ORD 0.1P,GBX,47.33,49.5,0.5,1.02%
ENW,ENWELL ENERGY PLC ORD 5P,GBX,50.5,15.75,-,-
EOG,EUROPA OIL & GAS (HOLDINGS) PLC ORD 1P,GBX,16.02,1.58,-0.08,-4.55%
EPP,ENERGYPATHWAYS PLC ORD GBP0.01,GBX,15.54,7,0.1,1.45%
EQT,EQTEC PLC ORD EUR0.0001 (CDI),GBX,3.28,0.05,0.01,15.85%
ESO,EPE SPECIAL OPPORTUNITIES LD ORD 5P (DI),GBX,47.76,180,-,-
ESYS,ESSENSYS PLC ORD 0.25P,GBX,11.67,17.75,-0.25,-1.39%
EUA,EURASIA MINING PLC ORD 0.1P,GBX,104.78,3.5,-0.05,-1.41%
EVPL,EVERPLAY GROUP PLC ORD GBP0.01,GBX,439,298,-3,-1.00%
EXR,ENGAGE XR HOLDINGS PLC ORD EUR0.001 (CDI),GBX,1.57,0.3,-,-
EYE,EAGLE EYE SOLUTIONS GROUP PLC ORD 1P,GBX,113.09,378,-,-
FAB,FUSION ANTIBODIES PLC ORD 4P,GBX,17.66,14,-0.13,-0.89%
FARN,FARON PHARMACEUTICALS OY ORD NPV (DI),GBX,57.89,50,-,-
FDBK,FEEDBACK PLC ORD 1P,GBX,5.48,12.5,-,-
FDEV,FRONTIER DEVELOPMENTS PLC ORD 0.5P,GBX,150.43,409.5,2.5,0.61%
FDR,FIRST DEVELOPMENT RESOURCES PLC ORD 1P,GBX,3.41,2.4,-0.05,-2.04%
FEN,FRENKEL TOPPING GROUP PLC ORD 0.5P,GBX,62.09,48.5,-,-
