Code,Name,Currency,Market Cap (m),Price,Change,Change %
TPK,TRAVIS PERKINS PLC ORD £0.11205105,GBX,"1,472.69",704.5,11.5,1.66%
TPT,TOPPS TILES PLC ORD 3 1/3P,GBX,86.17,43.9,-,-
TRI,TRIFAST PLC ORD 5P,GBX,118.42,84,-3,-3.45%
TRIG,THE RENEWABLES INFRASTRUCTURE GROUP ORD NPV,GBX,"1,553.74",65,-,-
TRN,TRAINLINE PLC ORD 1P,GBX,795.12,204.4,-0.2,-0.10%
TRST,TRUSTPILOT GROUP PLC ORD GBP0.01,GBX,553.84,139.9,-1.7,-1.20%
TRY,TR PROPERTY INV TST PLC ORD 25P,GBX,"1,113.90",351,-,-
TSCO,TESCO PLC ORD 6 1/3P,GBX,"31,581.11",494.5,-0.1,-0.02%
TTG,TT ELECTRONICS PLC ORD 25P,GBX,232.24,127,-3,-2.31%
TW.,TAYLOR WIMPEY PLC ORD 1P,GBX,"4,076.45",114.5,-0.45,-0.39%
UEM,UTILICO EMERGING MARKETS TRUST PLC ORD 1P,GBX,521.83,291,-3,-1.02%
UKW,GREENCOAT UK WIND PLC ORD 1P,GBX,"2,025.72",93.8,-0.05,-0.05%
ULVR,UNILEVER PLC ORD 3.5P,GBX,"117,321.14","5,396.00",16,0.30%
USA,BAILLIE GIFFORD US GROWTH TRUST PLC ORD GBP0.01,GBX,788.66,281,-4,-1.40%
UTG,UNITE GROUP PLC ORD 25P,GBX,"3,146.75",578.5,-2,-0.35%
UU.,UNITED UTILITIES GROUP PLC ORD 5P,GBX,"9,144.12","1,333.50",-7.5,-0.56%
VANQ,VANQUIS BANKING GROUP PLC ORD 20 8/11P,GBX,332.93,128.6,-1.2,-0.92%
VCT,VICTREX PLC ORD 1P,GBX,600.8,678,-12,-1.74%
VEIL,VIETNAM ENTERPRISE INVESTMENTS LIMI ORD USD0.01 (DI),GBX,"1,164.72",829,10,1.22%
VID,VIDENDUM PLC ORD 20P,GBX,13.47,12.85,-0.15,-1.15%
VIP,VALUE AND INDEXED PROP INC TRUST ORD 10P,GBX,81.73,201.75,-,-
VNH,VIETNAM HOLDING LD ORD USD1,GBX,75.53,394,-0.5,-0.13%
VOD,VODAFONE GROUP PLC ORD USD0.20 20/21,GBX,"26,756.63",115.75,0.25,0.22%
VOF,VINACAPITAL VIETNAM OPP. FUND LD ORD $0.01,GBX,599.61,484,6,1.26%
VP.,VP PLC ORD 5P,GBX,196.96,506,15.5,3.16%
